No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Forward P/E,PEG,P/S,P/B,P/Cash,P/Free Cash Flow,Dividend Yield,Payout Ratio,EPS (ttm),EPS growth this year,EPS growth next year,EPS growth past 5 years,EPS growth next 5 years,Sales growth past 5 years,EPS growth quarter over quarter,Sales growth quarter over quarter,Shares Outstanding,Shares Float,Insider Ownership,Insider Transactions,Institutional Ownership,Institutional Transactions,Float Short,Short Ratio,Return on Assets,Return on Equity,Return on Investment,Current Ratio,Quick Ratio,LT Debt/Equity,Total Debt/Equity,Gross Margin,Operating Margin,Profit Margin,Performance (Week),Performance (Month),Performance (Quarter),Performance (Half Year),Performance (Year),Performance (YTD),Beta,Average True Range,Volatility (Week),Volatility (Month),20-Day Simple Moving Average,50-Day Simple Moving Average,200-Day Simple Moving Average,50-Day High,50-Day Low,52-Week High,52-Week Low,Relative Strength Index (14),Change from Open,Gap,Analyst Recom,Average Volume,Relative Volume,Price,Change,Volume,Earnings Date,Target Price,IPO Date,After-Hours Close,After-Hours Change
2578,FOCS,Focus Financial Partners Inc.,Financial,Capital Markets,USA,2217.18,139.53,10.11,8.57,1.7,3.12,62.81,13.36,,0.00%,0.24,22.70%,11.58%,-28.00%,16.28%,30.20%,92.50%,3.80%,47.85,29.25,0.02%,-98.88%,94.90%,-0.78%,7.89%,5.77,0.40%,2.40%,2.80%,,,2.56,2.56,,7.70%,0.90%,8.04%,-9.38%,-2.75%,67.84%,41.39%,11.74%,,1.44,3.68%,4.84%,2.68%,-6.63%,13.35%,-19.66%,11.85%,-19.66%,170.58%,49.77,-0.72%,1.16%,1.8,400.34,0.45,32.93,0.43%,180742,8/6/2020 8:30,45.1,7/26/2018,32.93,0.00%
4789,NOVA,Sunnova Energy International Inc.,Technology,Solar,USA,2550.32,,,,17.86,3.83,24.93,,,,-1.97,-164.60%,87.10%,,,,58.80%,23.70%,84.03,42.7,0.30%,-98.46%,90.70%,2.95%,5.18%,1.52,-5.90%,-24.00%,-1.60%,1.5,0.9,2.46,2.63,60.30%,-24.20%,,18.26%,27.05%,71.27%,202.92%,199.60%,169.80%,,1.86,9.09%,7.72%,20.10%,20.69%,77.89%,-1.85%,59.99%,-1.85%,391.99%,69.08,-1.92%,0.95%,1.8,1458.23,2.32,30.11,-0.99%,3350600,7/29/2020 4:30:00 PM,30.7,7/25/2019,30,-0.37%
6980,USNA,"USANA Health Sciences, Inc.",Consumer Defensive,Household & Personal Products,USA,1560.71,14.8,13.36,1.48,1.48,4.51,,10.46,,0.00%,5.06,-14.00%,8.20%,9.50%,10.00%,6.10%,44.70%,1.20%,21.03,12.52,0.10%,-98.42%,57.80%,4.37%,7.95%,7.96,22.30%,32.90%,27.40%,2.3,1.8,0,0,82.10%,15.00%,10.40%,1.05%,-3.16%,-9.00%,19.40%,11.48%,-4.66%,1.01,2.09,2.82%,2.66%,-0.80%,-5.35%,-1.80%,-15.32%,3.98%,-18.83%,74.12%,44.68,1.48%,0.20%,2.5,125.13,0.82,74.89,1.68%,103679,7/21/2020 4:30:00 PM,97.5,5/30/1996,74.65,-0.32%
1391,COR,CoreSite Realty Corporation,Real Estate,REIT - Office,USA,5040.63,60.62,61.97,,8.56,41.72,1866.9,155.1,4.08%,246.00%,1.98,-7.40%,5.11%,25.30%,-4.50%,16.00%,-3.10%,5.30%,42.53,42.02,0.40%,-98.34%,95.80%,11.45%,1.74%,2.24,3.60%,52.40%,8.60%,,,14.12,14.12,68.60%,23.60%,12.80%,2.54%,-1.63%,-3.74%,4.29%,1.63%,6.79%,0.29,2.68,1.78%,2.32%,1.49%,-1.70%,1.83%,-8.30%,4.89%,-8.30%,32.93%,49.73,0.58%,0.13%,2.8,325.79,1.08,119.73,0.72%,351943,7/30/2020 8:30:00 AM,128.75,9/23/2010,119.73,0.00%
6278,SPCE,"Virgin Galactic Holdings, Inc.",Industrials,Aerospace & Defense,USA,4573.35,,,,1143.34,12.08,12.71,,,,-1.56,-1.80%,40.50%,,,,-154.20%,,211.79,168.1,0.40%,-97.64%,19.60%,132.58%,24.98%,2.44,,,-45.60%,3.7,3.4,0,0,95.70%,,,26.70%,15.85%,24.12%,55.63%,88.50%,74.63%,,1.3,8.40%,7.34%,16.33%,6.78%,13.79%,-26.79%,35.73%,-52.53%,192.32%,60.68,4.78%,0.10%,2,17199.13,0.8,20.17,4.89%,13913884,8/3/2020 16:30,25.33,9/29/2017,20.15,-0.10%
741,BILL,"Bill.com Holdings, Inc.",Technology,Software - Application,USA,8031.59,,,,50.96,4.07,3.43,,,,-0.64,-570.30%,20.70%,,13.20%,,-415.80%,32.80%,80.18,70.79,0.50%,-97.49%,87.30%,17.22%,3.39%,1.58,-1.60%,-9.00%,-4.80%,1.4,1.4,0,0,75.20%,-21.70%,-19.70%,8.36%,3.37%,14.98%,236.22%,,167.12%,,5.05,4.43%,5.60%,11.51%,10.21%,53.61%,-5.37%,26.26%,-5.37%,330.50%,62.29,-0.11%,1.44%,2.1,1524,0.97,101.64,1.33%,1476950,8/27/2020 4:30:00 PM,109,12/12/2019,101.86,0.22%
5430,PRPL,"Purple Innovation, Inc.",Consumer Cyclical,"Furnishings, Fixtures & Appliances",USA,1752.91,177.69,31.58,4.22,3.31,40.18,18.37,22.53,,0.00%,0.15,21.60%,65.40%,,42.10%,,57.20%,60.30%,29.28,27.66,3.60%,-97.33%,66.70%,47.14%,21.54%,3.9,2.40%,69.40%,28.70%,1.5,1.1,2,0,46.70%,10.10%,0.80%,12.93%,46.00%,44.55%,420.32%,290.43%,199.89%,1.43,1.4,5.84%,7.12%,17.38%,18.93%,78.11%,-5.87%,53.56%,-5.87%,490.95%,63.49,4.77%,0.28%,1.7,1525.87,1.19,26.12,5.07%,1788310,8/13/2020 4:30:00 PM,27.75,10/29/2015,26.12,-0.01%
1104,CDAY,Ceridian HCM Holding Inc.,Technology,Software - Application,USA,11727.27,165.96,152.89,8.76,13.97,6.12,22.26,256.05,,0.00%,0.5,242.00%,34.15%,,18.94%,,-14.50%,-1.90%,145.59,138.96,0.60%,-97.25%,89.51%,-0.99%,6.31%,5.93,1.30%,4.00%,3.10%,1.2,1.2,0.48,0.49,43.60%,2.70%,9.00%,9.74%,-0.24%,-1.41%,92.88%,75.27%,22.98%,,3.4,3.19%,4.84%,7.85%,8.45%,20.28%,-2.25%,23.36%,-4.05%,117.40%,60.05,-0.51%,1.52%,2.5,1478.4,0.9,83.48,1.00%,1354655,8/5/2020 16:30,84.29,4/26/2018,83.48,0.00%
6873,UEPS,"Net 1 UEPS Technologies, Inc.",Technology,Software - Infrastructure,South Africa,192.62,,86.5,,1.28,0.67,0.88,,,,-1.71,68.90%,0.00%,-23.30%,15.00%,-24.80%,77.10%,52.00%,56.06,52.34,0.10%,-97.18%,45.30%,7.44%,0.88%,3.27,-13.20%,-26.30%,-14.90%,4.5,4.2,0,0.05,27.80%,-28.30%,-50.90%,11.25%,6.79%,9.15%,17.29%,9.49%,-6.99%,1.03,0.13,3.22%,4.05%,8.67%,7.11%,0.61%,-2.26%,15.78%,-22.25%,28.15%,69.05,1.17%,1.48%,2,141.45,3.53,3.46,2.67%,476325,9/10/2020 16:30,5,4/19/1999,3.46,0.00%
6421,STMP,Stamps.com Inc.,Technology,Software - Application,USA,4413.28,47.78,34.43,3.19,6.74,5.7,16.05,21.76,,0.00%,5.3,-63.00%,-10.93%,8.20%,15.00%,31.20%,247.80%,48.90%,17.23,16.88,0.10%,-97.09%,88.40%,0.38%,5.21%,2.61,10.60%,14.30%,8.70%,2.2,2.2,0,0.04,74.00%,20.30%,14.90%,7.29%,1.85%,29.26%,103.90%,253.58%,203.16%,0.52,11.37,4.19%,5.34%,11.95%,2.50%,51.35%,-22.12%,22.30%,-22.12%,264.11%,57.88,4.41%,0.65%,1.7,336.93,1.41,253.2,5.08%,473804,8/6/2020 16:30,218,6/25/1999,253,-0.08%
2917,GO,Grocery Outlet Holding Corp.,Consumer Defensive,Grocery Stores,USA,3657.12,59.96,36.49,4.1,1.27,4.39,45.83,50.65,,0.00%,0.67,1.70%,-9.66%,,14.63%,,347.20%,24.50%,90.8,82.74,0.70%,-96.93%,93.00%,43.13%,5.35%,4.52,2.90%,8.30%,5.10%,1.6,0.5,0.54,0.54,31.10%,3.10%,2.20%,5.64%,-4.59%,-4.05%,16.68%,22.05%,24.16%,,1.43,3.48%,4.11%,3.04%,-2.39%,10.89%,-12.41%,9.10%,-12.41%,43.33%,51.82,2.65%,-0.18%,2.3,978.03,0.56,40.29,2.47%,553579,8/10/2020 16:30,43.73,6/20/2019,40.29,0.00%
858,BOXL,Boxlight Corporation,Technology,Communication Equipment,USA,81.25,,,,2.66,3.03,13.32,,,,-0.56,-21.60%,58.30%,-50.40%,,,26.40%,-29.70%,50.61,44.07,0.20%,-96.74%,9.40%,,3.28%,0.08,-29.90%,-210.30%,-141.80%,1.3,1.1,0.12,0.66,27.50%,-23.30%,-22.70%,27.59%,13.50%,100.50%,189.06%,2.78%,66.67%,,0.19,10.80%,10.96%,19.28%,-3.09%,50.16%,-44.44%,37.04%,-60.22%,460.61%,56.94,14.91%,0.00%,1.7,17341.75,0.45,1.85,14.91%,7976966,8/14/2020 8:30:00 AM,,11/30/2017,1.82,-1.62%
2307,FBC,"Flagstar Bancorp, Inc.",Financial,Banks - Regional,USA,1674.13,6.07,6.33,3.03,2.05,0.87,2.77,,0.67%,3.60%,4.95,18.80%,-25.28%,33.40%,2.00%,22.70%,90.00%,1.50%,56.79,55.91,1.40%,-96.37%,98.90%,0.47%,2.76%,2.85,1.10%,15.40%,21.70%,,,0.25,0.25,,62.50%,34.60%,5.44%,-4.45%,7.02%,64.87%,-18.96%,-21.46%,1.7,1.11,3.21%,3.71%,-1.17%,-2.10%,0.67%,-9.71%,8.10%,-24.90%,79.24%,48.51,1.14%,0.24%,1.6,540.86,0.86,30.04,1.38%,463233,7/28/2020 8:30:00 AM,38.14,4/30/1997,30.04,0.00%
966,BV,"BrightView Holdings, Inc.",Industrials,Specialty Business Services,USA,1250.23,,11.01,,0.53,0.99,13.91,7.63,,,-0.1,176.70%,19.96%,,23.76%,,-107.50%,-7.50%,103.79,44.35,0.70%,-96.35%,94.60%,-0.55%,4.48%,5.8,-0.30%,-0.80%,4.80%,1.4,1.3,0.92,0.94,25.50%,2.20%,-0.40%,2.91%,-6.81%,4.79%,27.14%,-29.51%,-28.63%,,0.6,4.89%,4.89%,0.54%,-1.19%,-7.46%,-10.75%,10.16%,-38.79%,75.77%,50.49,5.99%,-0.35%,2,342.65,0.71,12.04,5.61%,244668,8/5/2020 8:30,15.57,6/28/2018,12.04,0.00%
535,AVTR,"Avantor, Inc.",Basic Materials,Specialty Chemicals,USA,12988.5,98.63,23.22,4.5,2.16,8.64,31.27,23.21,,0.00%,0.23,-36.50%,25.98%,,21.90%,59.40%,112.70%,-3.50%,575.6,467.74,0.80%,-96.34%,84.30%,5.88%,3.51%,3.18,1.40%,9.30%,7.20%,2.2,1.5,3.29,3.3,32.30%,10.20%,2.20%,7.35%,2.26%,31.66%,86.73%,69.33%,27.16%,,0.88,2.91%,4.10%,4.71%,7.48%,30.01%,-1.28%,26.33%,-1.28%,246.81%,58.82,1.54%,1.07%,1.8,5158.13,1.05,23.08,2.62%,5452588,7/29/2020 4:30:00 PM,23.82,5/17/2019,23.05,-0.13%
7288,WERN,"Werner Enterprises, Inc.",Industrials,Trucking,USA,2918.4,19.58,15.82,3.08,1.22,2.56,44.62,24.92,0.86%,16.60%,2.15,2.20%,12.86%,11.90%,6.36%,2.90%,-9.10%,-9.30%,69.09,37.83,0.80%,-96.23%,84.30%,27.89%,7.59%,3.02,7.10%,13.60%,12.10%,1.7,1.7,0.15,0.15,84.20%,8.50%,6.20%,-1.89%,-8.80%,-0.57%,21.87%,22.23%,15.61%,0.78,1.32,2.58%,3.41%,-4.52%,-5.34%,4.40%,-11.30%,1.40%,-11.30%,45.12%,39.38,0.79%,-0.60%,2.3,950.36,0.82,42.07,0.19%,779416,7/29/2020 4:30:00 PM,50.56,6/20/1986,42.07,0.00%
5643,RAPT,"RAPT Therapeutics, Inc.",Healthcare,Biotechnology,USA,772.88,,,,351.31,6.39,5.81,,,,-2.09,-19.00%,-20.40%,,,,41.50%,,24.34,23.64,0.40%,-96.06%,75.00%,-1.33%,4.30%,5.13,-44.90%,-96.10%,,10.4,10.4,0,0,,,,14.11%,10.35%,14.76%,72.32%,,16.59%,,2.81,10.97%,9.57%,-2.85%,15.77%,27.38%,-15.91%,52.78%,-37.14%,205.99%,54.58,2.26%,-2.24%,2,198.22,1.06,32.19,-0.03%,207763,,42.5,10/31/2019,32.19,0.00%
7500,YETI,"YETI Holdings, Inc.",Consumer Cyclical,Leisure,USA,3950.86,59.58,26.85,2.98,4.17,23.98,30.99,31.11,,0.00%,0.78,-15.50%,19.60%,28.00%,20.00%,44.00%,48.50%,6.60%,86.94,78.02,0.70%,-96.03%,99.52%,34.18%,10.70%,6,11.00%,53.30%,17.40%,2.8,1.7,1.6,1.71,54.00%,11.50%,7.20%,5.51%,-13.09%,9.10%,174.84%,74.01%,33.78%,,2.1,3.59%,5.08%,-1.70%,-4.34%,30.31%,-15.46%,7.98%,-15.46%,204.52%,46.06,1.84%,0.82%,1.9,1391.28,0.74,46.53,2.67%,1041106,8/6/2020 8:30,56.5,10/25/2018,46.7,0.37%
7188,VRT,Vertiv Holdings Co.,Industrials,Electrical Equipment & Parts,USA,5815.71,,15.87,,3.06,16.73,,,,,-1.05,-12.70%,45.92%,,36.40%,,149.50%,-11.30%,328.41,288.43,0.60%,-95.93%,88.90%,9.70%,3.44%,3.76,-9.00%,-47.80%,,1.5,1.2,6.87,6.99,33.30%,-11.30%,-12.80%,7.57%,8.88%,27.22%,120.17%,74.12%,62.28%,,0.56,2.77%,3.27%,5.58%,10.84%,40.93%,-0.56%,35.50%,-0.56%,276.84%,64.69,1.82%,1.50%,1.7,2639.05,1.24,17.9,3.35%,3281634,8/5/2020 8:30,20.5,7/30/2018,17.9,0.00%
1828,DT,"Dynatrace, Inc.",Technology,Software - Application,USA,11003.12,,72.23,,19.01,11.69,43.94,,,,-1.35,-289.30%,19.13%,,32.95%,,121.90%,26.80%,279.07,155.72,0.90%,-95.71%,92.50%,0.78%,8.25%,4.39,-17.80%,-38.10%,-25.00%,1,1,0.52,0,77.90%,-19.80%,-61.50%,6.26%,-12.10%,-2.27%,93.59%,127.79%,63.60%,,2.04,4.04%,5.46%,2.33%,1.88%,22.45%,-15.27%,16.85%,-15.27%,142.76%,52.14,-1.05%,1.97%,1.9,2925.03,0.68,41.39,0.90%,1987649,7/29/2020 8:30:00 AM,48.95,8/1/2019,41.39,0.00%
1606,DAL,"Delta Air Lines, Inc.",Industrials,Airlines,USA,19324.3,,24.84,,0.57,2.27,1.23,18.69,,,-5.83,28.70%,113.30%,56.40%,-14.96%,3.10%,-506.80%,-88.30%,635,632.76,0.10%,-95.45%,61.50%,,3.17%,0.87,-5.40%,-27.40%,19.60%,0.9,0.9,2.23,2.84,48.30%,-5.20%,-10.70%,7.20%,1.27%,12.19%,37.13%,-42.78%,-46.82%,1.31,1.46,3.86%,4.35%,-1.35%,6.05%,-13.25%,-11.32%,27.55%,-50.22%,77.61%,53.2,0.35%,1.34%,2.2,23050.18,0.53,31.1,1.70%,12501909,7/14/2020 8:30:00 AM,37.1,4/26/2007,31.07,-0.10%
5815,ROAD,"Construction Partners, Inc.",Industrials,Engineering & Construction,USA,911.72,24.15,23.56,3.45,1.14,2.58,11.58,25.05,,0.00%,0.76,-6.80%,10.00%,,7.00%,,-8.90%,-4.50%,51.49,28.48,0.70%,-95.38%,,-3.52%,5.22%,5.25,7.20%,11.10%,11.00%,2.2,1.9,0.15,0.18,15.10%,6.70%,4.90%,6.24%,-4.22%,4.78%,6.11%,19.33%,9.07%,,0.76,4.01%,3.87%,1.74%,0.82%,6.91%,-16.93%,18.48%,-16.93%,53.85%,53.25,0.49%,0.60%,1.7,283.2,0.93,18.4,1.10%,264445,8/7/2020 8:30,19.56,5/4/2018,18.4,0.00%
6076,SGMS,Scientific Games Corporation,Consumer Cyclical,Gambling,USA,3152.77,,88.16,,1.06,,3.99,14.94,,,-4.14,63.90%,108.80%,12.80%,,13.70%,-158.10%,-36.20%,95,65.43,1.30%,-95.37%,60.90%,0.27%,10.74%,3.46,-5.00%,16.50%,6.90%,1.8,1.6,,,59.50%,5.80%,-13.10%,9.73%,67.07%,121.35%,394.77%,84.32%,34.32%,1.9,2.42,7.25%,9.00%,28.37%,57.22%,91.36%,-4.28%,148.24%,-4.28%,856.65%,71.85,3.01%,0.03%,2.6,2032.72,1.82,35.97,3.04%,3622817,7/23/2020 4:30:00 PM,16.78,8/23/1984,35.97,0.00%
2555,FND,"Floor & Decor Holdings, Inc.",Consumer Cyclical,Home Improvement Retail,USA,7833.03,55.36,48.87,2.37,3.79,9.17,58.28,,,0.00%,1.38,30.50%,33.48%,54.40%,23.40%,28.50%,-27.00%,-11.10%,102.11,100.36,0.80%,-95.35%,,-1.78%,2.66%,2.35,6.00%,18.50%,17.60%,1.6,0.4,0.24,0.25,42.40%,6.90%,7.00%,6.76%,1.22%,32.14%,168.41%,61.98%,50.34%,1.96,2.5,2.81%,3.64%,4.53%,7.31%,42.54%,-0.95%,18.73%,-0.95%,213.59%,61.62,0.82%,1.30%,2,1135.71,0.67,76.39,2.13%,758464,7/30/2020 4:30:00 PM,76.29,4/27/2017,76.39,0.00%
3161,HLF,Herbalife Nutrition Ltd.,Consumer Defensive,Packaged Foods,USA,7066.65,22.43,12.16,,1.39,,4.06,11.33,,0.00%,2.14,10.70%,13.68%,5.30%,-0.50%,-0.30%,52.90%,8.60%,137.9,132.72,0.50%,-95.24%,88.80%,2.75%,4.35%,4.6,10.40%,-79.10%,30.30%,2.2,1.8,,,80.50%,10.60%,5.90%,0.10%,-4.05%,2.50%,68.98%,34.79%,0.46%,1.07,1.41,2.70%,2.63%,-1.31%,-2.93%,13.78%,-9.30%,11.35%,-9.45%,131.02%,45.34,2.44%,0.21%,1.2,1255.27,0.6,47.89,2.66%,756258,8/6/2020 16:30,65,12/16/2004,48.05,0.33%
5300,PING,Ping Identity Holding Corp.,Technology,Software - Infrastructure,USA,2468.94,,74.52,,9.86,3.52,13.94,220.44,,,-0.04,87.40%,69.35%,,16.50%,,-260.80%,-5.60%,80.17,26.26,1.30%,-94.96%,100.00%,0.50%,14.94%,3.45,-0.60%,-0.80%,1.50%,4.9,4.9,0.21,0,75.00%,-4.40%,-2.20%,5.81%,-13.94%,-3.66%,64.82%,95.99%,28.81%,,1.58,3.67%,5.57%,1.06%,-4.99%,14.34%,-17.20%,10.60%,-17.20%,160.40%,47.06,-0.70%,0.99%,1.7,1137.38,0.46,31.3,0.29%,532167,8/12/2020 16:30,35.73,9/19/2019,31.3,0.00%
6122,SILK,"Silk Road Medical, Inc",Healthcare,Medical Devices,USA,2111.08,,,,30.29,16.83,13.38,,,,-1.16,-83.40%,43.80%,,,,18.60%,1.30%,32.68,32.51,1.90%,-94.22%,,11.39%,5.67%,5.05,-24.80%,-43.00%,-24.00%,15.5,14.5,0.35,0.35,72.10%,-48.10%,-52.50%,1.90%,7.88%,54.42%,120.40%,104.31%,62.11%,,3.05,4.33%,4.83%,0.75%,14.14%,48.41%,-9.32%,43.08%,-9.32%,214.11%,55.93,1.28%,-3.84%,1.7,365.07,1.28,65.46,-2.60%,465624,8/5/2020 16:30,58.83,4/4/2019,65.46,0.00%
